zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
00501,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 28,194 days
00544,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 28,194 days
01001,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01002,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01003,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01004,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01005,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01007,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01008,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01009,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01010,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01011,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01012,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01013,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01014,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01020,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01021,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01022,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01026,5b,-15 to -10,5b: -15 to -10,May 18,Sep 28,132 days
01027,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01028,6b,-5 to 0,6b: -5 to 0,Apr 27,Oct 10,165 days
01029,5b,-15 to -10,5b: -15 to -10,May 3,Oct 11,160 days
01030,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01031,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01032,6a,-10 to -5,6a: -10 to -5,May 22,Sep 25,125 days
01033,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01034,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01035,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01036,6a,-10 to -5,6a: -10 to -5,May 13,Oct 6,145 days
01037,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01038,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01039,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01040,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01041,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01050,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01053,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01054,6a,-10 to -5,6a: -10 to -5,May 7,Oct 4,149 days
01056,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01057,6a,-10 to -5,6a: -10 to -5,May 13,Oct 6,145 days
01059,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01060,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01061,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01062,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01066,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01068,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01069,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01070,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01071,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01072,5b,-15 to -10,5b: -15 to -10,May 7,Oct 4,149 days
01073,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01074,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01075,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01077,6b,-5 to 0,6b: -5 to 0,May 3,Oct 11,160 days
01079,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01080,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01081,6b,-5 to 0,6b: -5 to 0,May 13,Oct 6,145 days
01082,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01083,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01084,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01085,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01086,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01088,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01089,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01090,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01092,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01093,6a,-10 to -5,6a: -10 to -5,May 7,Oct 4,149 days
01094,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01095,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01096,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01097,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
